รหัสวิชา,ชื่อวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67
01001317," ผู้นำกับการพัฒนาภาคการเกษตร
 (Leaders and Agricultural Sectors Development)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01004101," แมลงพารวย
 (Insects-based Wealth)",3(3-0-6),คณะเกษตร,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด"
01005101," เทคโนโลยีเกษตรสมัยใหม่
 (Modern Agricultural Technology)",3(3-0-6),คณะเกษตร,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง"
01007101," พืชสวนเพื่อคุณภาพชีวิตและสิ่งแวดล้อม
 (Horticulture for life Quality and Environment)",3(3-0-6),คณะเกษตร,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01009102," มนุษย์และทรัพยากรธรรมชาติ
 (Humans and Natural Resources)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง"
01015202," เกษตรวิถีไทย
 (Thai Livelihood Agriculture)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง"
01051121," อยู่กับเทคโนโลยีชีวภาพ
 (Living with Biotechnology)",3(3-0-6),คณะอุตสาหกรรมเกษตร,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01101101," เศรษฐศาสตร์ทั่วไปในกระแสโลกาภิวัตน์
 (General Economics in Globalization)",3(3-0-6),คณะเศรษฐศาสตร์,ศาสตร์แห่งผู้ประกอบการ,4 - ด้านทักษะการคิด
01131111," การเงินสำหรับผู้ประกอบการ
 (Finance for Entrepreneurs)",3(3-0-6),คณะบริหารธุรกิจ,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด"
01173151," เอดส์ศึกษา
 (AIDS Education)",2(2-0-4),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01174123," ค่ายพักแรมนันทนาการ
 (Recreation Camp)",2(1-2-4),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01174231," นันทนาการเบื้องต้น
 (Introduction to Recreation)",2(2-0-4),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175111," กรีฑาลู่-ลาน เพื่อสุขภาพ 
 (Track and Field for Health)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175112," แบดมินตันเพื่อสุขภาพ 
 (Badminton for Health)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175113," เทนนิสเพื่อสุขภาพ 
 (Tennis for Health)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
